Type,Elevator,Floors in the Building,Room Area,Renovation,Balcony,Floor,Number of Guests,Children Are Welcome,Pets Allowed,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Links,Parking,Amenities,Appliances
Guesthouse,Not available,1,35 sq.m.,Cosmetic Renovation,Not available,1,3,Yes,Yes,1 month,By Agreement,"Արարատյան փողոց 1, Նորաբաց","150,000 ֏ monthly",AMD,"Տրվում են վարձով առանձնասենյակներ Նորաբաց գյուղ-Մասիս քաղաք ավտոճանապարհի հատվածում: Առկա են բոլոր կոմունալ հարմարությունները, մշտական տաք և սառը ջուր, գազ: Երկարաժամկետ վարձակալության դեպքում հնարավոր է նաև գնի սակարկում: Առկա են 2 ննջասենյակ, լոգարան, հյուրասրահ: Մնացած մանրամասների համար կարող եք զանգահարել:Сдаются в аренду апартаменты в селе Норабац на трассе Норабац – г. Масис. Есть все необходимые условия для проживания: Постоянное водоснабюение (горячая/холодная), газ, интернет. При долгосрочной аренде торг уместен. В апартаментах 2 комнаты, ванная комната, гостиная. Для более подробной информации можете звонить.Translated from Armenian",Nov-25-2022_00-27,https://list.am/en/item/18373877,,,
Hotel,Not available,1,12 sq.m.,Designer Renovation,Not available,1,2,Yes,Yes,By Agreement,Included,Ararat › Ayntap,"10,000 ֏ daily",AMD,"A room for rent in a small hotel, the price includes all utilities, the price per day is 15000 7000 per nightTranslated from Armenian",Nov-25-2022_00-27,https://list.am/en/item/17524550,,,
Private House,Not available,1,20 sq.m.,Major Renovation,Open balcony,1,1,Yes,Yes,1 month,Included,Ararat › Nor Kharberd,"100,000 ֏ monthly",AMD,"A studio for rent, 20 square meters with a heated floor, with all amenities.Translated from Armenian",Dec-15-2022_22-00,https://list.am/en/item/18713195,Outdoor parking,"Television, internet, parking space","Fridge, stove, washing machine, water Heater"
Private House,Not available,2,20 sq.m.,Major Renovation,Open balcony,2,2,Negotiable,Negotiable,By Agreement,Not included,Ararat › Geghanist,"120,000 ֏ monthly",AMD,Сдается комнаты посуточно.Վարձով սենյակ առանձնատանը։,Dec-15-2022_22-00,https://list.am/en/item/18607961,Outdoor parking,"Television, internet, parking space","Fridge, microwave, coffee maker, washing machine, water Heater, iron, hair dryer"
Hostel,Not available,3,15 sq.m.,Major Renovation,Not available,2,2,No,No,Without prepayment,By Agreement,"Գառնիի փողոց 10, Աբովյան","90,000 ֏ monthly",AMD,"All the rooms are in clean condition, the room also has a bathroom, toilet, TV and refrigerator. Can also be paid by the dayTranslated from Armenian",Dec-15-2022_22-00,https://list.am/en/item/18491594,,,
Hotel,Not available,2,20 sq.m.,Euro Renovation,Closed balcony,2,8+,Yes,Negotiable,By Agreement,Included,Ararat › Artashat,"15,000 ֏ daily",AMD,"The hotel is located on the Artashat Yeraskh highway, ArDvin hotel rooms are available for 12 hours 10,000 dinars, 24 hours 15,000 dinarsTranslated from Armenian",Dec-15-2022_22-00,https://list.am/en/item/18650508,Outdoor parking,"Television, air conditioner, internet, parking space","Fridge, microwave, coffee maker, washing machine, water Heater, iron, hair dryer"
Private House,Not available,2,6 sq.m.,Cosmetic Renovation,Not available,2,2,No,Yes,By Agreement,Included,Ararat › Ayntap,"80,000 ֏ monthly",AMD,The house is in good condition. There are two rooms available for two female students.Translated from Armenian,Dec-15-2022_22-00,https://list.am/en/item/18617862,,"Television, internet","Fridge, stove, washing machine, water Heater, iron"
,Not available,2,25 sq.m.,Major Renovation,Not available,2,1,Yes,No,1 month,Included,"Kentronakan street, Argavand","250,000 ֏ monthly",AMD,"Сдаются комнаты в частном доме. Дом находится от 300 м к входу в Ереван.В г. Ереван (Центр) можно добрамтся за 15 минут, расстояние 6 кмОписание дома:1-й этаж: Прихожая, гостевая комната, туалет, библиотека, внутренний двор, столовая2-й этаж: 3 ком. , прихожая, столовая, камин, комната для стирки.Жилье:3 изолированных комнат на 2м этаже. Отдельный санузел в каждой комнате. Кондиционер. Общая система отопления. Интернет и коммунальные платежи включены в арендную плату.Комнаты также доступны для посуточной аренды 12000 (без завтракка) и 15000 (с завтраком)",Dec-15-2022_22-00,https://list.am/en/item/18539152,,,
,Not available,2,20 sq.m.,Old Renovation,Not available,2,3,Yes,No,Without prepayment,Included,"Улица Кентронакан 85, Геганист","8,000 ֏ daily",AMD,"Двухэтажный дом с садом и видом на Арарат недалеко от аэропорта, 15 минут на такси до центра Еревана, также есть автобусная остановка и круглосуточный супермаркет. Тихое, уютное место для всей семьи. Есть детская кроватка. Работает беспроводной интернет, скорость позволяет удаленно работать.",Dec-15-2022_22-00,https://list.am/en/item/18530284,,,
,Not available,2,12 sq.m.,Euro Renovation,Not available,2,2,Yes,Yes,Without prepayment,By Agreement,"3-я улица, Масис","120,000 ֏ monthly",AMD,Недавно построенный дом рядом сцентром города и в 20 минутах от Еревана. Все неоьходимые магазины есть ряом. Также можем рассмотреть сдачу всего дома. Торг возможен.,Dec-15-2022_22-00,https://list.am/en/item/18490500,,,
,Not available,1,20 sq.m.,Euro Renovation,Closed balcony,1,2,Yes,Yes,By Agreement,By Agreement,"26-րդ փողոց, Գեղանիստ","8,000 ֏ daily",AMD,"Собственник!Русскоговорящая женщина сдает комнатуВ большом частном доме со всеми удобствами. Стоянка во дворе.8000 драм/сутки.Связь по смс или вацап, телеграм.",Dec-15-2022_22-00,https://list.am/en/item/18460391,,,
